	0	 1	 2	 3	 4	 5	 6	 7	 8	 9	 10	 11	 12	 13	 14	 15	 16	 17	 18	 19	 20	 21	 22	 23	 24	 25	 26	 27	 28	 29	 30	 31	 32	 33	 34	 35	 36	 37	 38	 39	 40	 41	 42	 43	 44	 45	 46	 47	 48	 49	 50	 51	 52	 53	 54	 55	 56	 57	 58	 59	 60	 61	 62	 63	 64	 65	 66	 67	 68	 69	 70	 71	 72	 73	 74	 75	 76	 77	 78	 79	 80	 81	 82	 83	 84	 85	 86	 87	 88	 89	 90	 91	 92	 93	 94	 95	 96	 97	 98	 99	 100	 101	 102	 103	 104	 105	 106	 107	 108	 109	 110	 111	 112	 113	 114	 115	 116	 117	 118	 119	 120	 121	 122	 123	 124	 125	 126	 127	 128	 129	 130	 131	 132	 133	 134	 135	 136	 137	 138	 139	 140	 141	 142	 143	 144	 145	 146	 147	 148	 149	 150	 151	 152	 153	 154	 155	 156	 157	 158	 159	 160	 161	 162	 163	 164	 165	 166	 167	 168	 169	 170	 171	 172	 173	 174	 175	 176	 177	 178	 179	 180	 181	 182	 183	 184	 185	 186	 187	 188	 189	 190	 191	 192	 193	 194	 195	 196	 197	 198	 199	 200	 201	 202	 203	 204	 205	 206	 207	 208	 209	 210	 211	 212	 213	 214	 215	 216	 217	 218	 219	 220	 221	 222	 223	 224	 225	 226	 227	 228	 229	 230	 231	 232	 233	 234	 235	 236	 237	 238	 239	 240	 241	 242	 243	 244	 245	 246	 247	 248	 249	 250	 251	 252	 253	 254	 255
0	 0	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128	 128
1	 128	 128	 136	 136	 122	 126	 122	 134	 132	 128	 124	 120	 130	 122	 130	 130	 126	 130	 130	 126	 120	 128	 116	 124	 134	 126	 138	 138	 132	 120	 128	 132	 116	 136	 140	 128	 118	 134	 118	 126	 140	 140	 132	 132	 138	 126	 138	 118	 118	 126	 138	 138	 128	 116	 124	 128	 130	 126	 134	 138	 136	 136	 132	 132	 140	 132	 128	 120	 130	 118	 118	 130	 128	 140	 124	 136	 138	 122	 118	 126	 126	 122	 118	 122	 124	 148	 132	 124	 134	 110	 134	 134	 120	 132	 136	 132	 132	 144	 136	 132	 122	 122	 126	 118	 124	 124	 120	 136	 142	 138	 138	 126	 146	 130	 122	 130	 120	 140	 144	 132	 126	 138	 126	 114	 128	 120	 128	 136	 132	 124	 116	 132	 126	 130	 134	 122	 124	 136	 140	 128	 114	 130	 138	 122	 134	 114	 122	 134	 128	 136	 124	 124	 138	 130	 126	 118	 128	 140	 124	 128	 136	 132	 128	 116	 122	 122	 138	 138	 132	 116	 124	 116	 138	 118	 122	 118	 118	 134	 114	 130	 128	 116	 132	 128	 126	 138	 122	 134	 124	 132	 112	 128	 128	 128	 124	 132	 118	 122	 146	 134	 120	 132	 124	 128	 138	 130	 126	 118	 126	 114	 134	 122	 124	 132	 132	 116	 114	 138	 114	 138	 140	 128	 140	 136	 144	 148	 132	 128	 134	 134	 138	 122	 140	 140	 136	 112	 134	 138	 146	 118	 130	 138	 130	 122	 120	 124	 136	 116	 138	 118	 130	 126	 132	 116	 124	 116
2	 128	 136	 124	 136	 126	 126	 130	 126	 122	 110	 122	 130	 136	 132	 128	 120	 138	 130	 134	 122	 116	 148	 136	 124	 120	 132	 120	 128	 138	 126	 130	 122	 124	 136	 124	 116	 134	 122	 118	 126	 118	 126	 122	 126	 136	 136	 140	 128	 122	 126	 138	 114	 128	 124	 112	 120	 128	 120	 132	 128	 134	 118	 138	 118	 116	 120	 120	 120	 142	 122	 130	 130	 138	 138	 130	 126	 132	 124	 140	 136	 138	 134	 134	 134	 128	 116	 124	 140	 124	 124	 124	 144	 138	 130	 122	 142	 124	 140	 140	 112	 130	 122	 138	 126	 130	 126	 118	 134	 128	 116	 140	 140	 118	 118	 126	 122	 136	 128	 120	 116	 128	 132	 140	 124	 130	 126	 134	 134	 136	 120	 120	 116	 150	 126	 126	 122	 114	 134	 118	 134	 120	 132	 132	 132	 126	 126	 118	 122	 128	 136	 144	 132	 116	 144	 128	 128	 134	 122	 138	 122	 120	 132	 124	 140	 122	 126	 126	 126	 114	 130	 122	 126	 132	 140	 124	 128	 138	 142	 134	 134	 128	 140	 124	 124	 136	 120	 152	 132	 134	 142	 118	 130	 144	 132	 128	 136	 122	 134	 122	 130	 142	 134	 114	 126	 128	 144	 116	 112	 122	 134	 138	 114	 136	 124	 136	 128	 124	 132	 144	 132	 138	 138	 126	 130	 132	 124	 144	 132	 130	 130	 134	 122	 130	 126	 130	 122	 128	 132	 120	 128	 122	 130	 134	 114	 124	 124	 128	 124	 132	 120	 132	 140	 126	 122	 134	 126
3	 128	 120	 120	 140	 140	 128	 124	 124	 106	 130	 134	 122	 130	 126	 134	 126	 136	 116	 132	 124	 128	 104	 132	 136	 122	 118	 122	 130	 134	 118	 126	 122	 128	 128	 132	 120	 136	 140	 124	 132	 134	 134	 126	 114	 122	 134	 130	 130	 136	 132	 128	 128	 132	 116	 124	 128	 126	 138	 122	 138	 142	 134	 138	 134	 128	 116	 132	 140	 116	 124	 112	 140	 126	 122	 126	 126	 126	 134	 118	 114	 144	 128	 136	 124	 136	 140	 120	 128	 126	 134	 114	 142	 138	 142	 118	 126	 136	 140	 112	 128	 128	 144	 136	 132	 114	 110	 118	 110	 134	 134	 122	 134	 128	 136	 124	 128	 132	 136	 128	 128	 130	 114	 138	 134	 138	 126	 130	 114	 116	 140	 136	 124	 128	 124	 124	 132	 146	 138	 122	 126	 138	 126	 138	 138	 132	 112	 124	 132	 132	 132	 148	 128	 138	 118	 134	 126	 126	 134	 130	 118	 120	 144	 128	 124	 136	 124	 128	 136	 130	 122	 142	 122	 126	 138	 122	 122	 120	 124	 148	 124	 132	 132	 128	 148	 130	 134	 130	 122	 130	 138	 130	 126	 144	 124	 136	 136	 132	 124	 116	 128	 122	 126	 126	 118	 138	 130	 134	 130	 120	 128	 132	 128	 120	 124	 124	 116	 130	 130	 138	 126	 134	 122	 134	 126	 140	 128	 128	 112	 124	 132	 128	 132	 130	 126	 130	 122	 126	 118	 126	 130	 124	 132	 132	 136	 128	 124	 120	 144	 138	 122	 126	 138	 130	 126	 118	 126
4	 128	 120	 116	 120	 130	 118	 110	 126	 136	 124	 112	 128	 138	 130	 130	 134	 130	 122	 130	 126	 140	 128	 132	 124	 130	 126	 126	 126	 132	 116	 112	 132	 138	 118	 126	 126	 120	 144	 132	 144	 134	 118	 126	 130	 132	 120	 124	 132	 120	 140	 136	 136	 134	 134	 126	 122	 140	 140	 136	 132	 114	 134	 126	 126	 136	 112	 136	 132	 130	 134	 114	 122	 120	 124	 140	 132	 130	 138	 126	 138	 126	 126	 122	 134	 120	 132	 132	 124	 126	 130	 134	 134	 112	 120	 128	 132	 126	 122	 134	 126	 132	 124	 140	 128	 130	 130	 142	 122	 136	 124	 124	 124	 120	 116	 124	 140	 134	 142	 122	 134	 124	 132	 124	 120	 130	 126	 122	 122	 150	 130	 122	 122	 120	 136	 132	 136	 122	 114	 122	 134	 124	 128	 124	 116	 128	 124	 128	 136	 130	 130	 138	 134	 108	 124	 144	 124	 134	 114	 138	 130	 120	 136	 124	 120	 150	 122	 130	 130	 128	 116	 128	 112	 126	 126	 142	 122	 126	 134	 126	 138	 132	 128	 124	 124	 126	 114	 130	 122	 140	 124	 144	 132	 138	 110	 122	 138	 124	 132	 108	 128	 126	 126	 138	 134	 112	 124	 148	 124	 128	 124	 140	 140	 122	 138	 134	 138	 132	 132	 132	 136	 134	 146	 126	 126	 136	 128	 128	 124	 134	 130	 142	 126	 128	 140	 116	 132	 126	 134	 138	 134	 130	 122	 134	 122	 128	 140	 132	 140	 138	 126	 130	 130	 128	 112	 128	 124
5	 128	 112	 128	 140	 132	 132	 140	 128	 132	 140	 128	 132	 132	 124	 144	 124	 128	 124	 120	 128	 132	 144	 132	 132	 136	 124	 132	 132	 128	 116	 124	 132	 126	 126	 126	 130	 110	 118	 134	 138	 114	 130	 126	 130	 118	 126	 130	 118	 118	 122	 142	 134	 134	 130	 134	 126	 126	 130	 138	 146	 138	 134	 118	 126	 136	 128	 112	 124	 136	 120	 120	 132	 132	 124	 128	 124	 128	 128	 140	 120	 144	 108	 136	 120	 128	 132	 144	 128	 136	 132	 124	 124	 124	 128	 128	 128	 118	 126	 134	 122	 122	 130	 130	 126	 130	 114	 118	 114	 138	 122	 126	 130	 118	 138	 134	 134	 122	 110	 130	 122	 142	 122	 138	 130	 110	 138	 122	 122	 126	 114	 142	 126	 130	 134	 138	 130	 130	 134	 118	 118	 138	 126	 126	 134	 122	 122	 122	 118	 134	 134	 142	 114	 122	 138	 118	 130	 130	 130	 126	 130	 124	 128	 132	 124	 124	 136	 124	 116	 128	 140	 124	 140	 140	 144	 136	 136	 120	 112	 128	 140	 128	 128	 128	 124	 136	 120	 124	 144	 132	 124	 136	 140	 122	 126	 130	 122	 130	 126	 130	 122	 126	 138	 146	 130	 138	 126	 126	 126	 142	 134	 142	 138	 126	 142	 118	 130	 118	 118	 122	 142	 114	 138	 134	 138	 128	 132	 120	 120	 124	 128	 140	 116	 116	 136	 136	 120	 140	 128	 128	 120	 116	 132	 132	 128	 136	 136	 128	 132	 124	 140	 128	 124	 132	 116	 136	 124
6	 128	 124	 128	 140	 128	 120	 128	 128	 126	 146	 134	 138	 126	 134	 126	 126	 116	 128	 136	 116	 128	 136	 116	 132	 118	 122	 122	 126	 130	 122	 142	 126	 122	 134	 126	 138	 138	 130	 134	 118	 140	 120	 136	 132	 132	 132	 128	 120	 134	 146	 126	 122	 122	 146	 122	 138	 132	 128	 140	 136	 112	 128	 120	 128	 132	 124	 112	 136	 136	 124	 132	 144	 134	 118	 122	 138	 122	 126	 134	 114	 104	 112	 128	 136	 128	 116	 136	 132	 126	 126	 134	 134	 150	 122	 134	 130	 126	 142	 142	 126	 130	 126	 138	 126	 132	 148	 124	 124	 128	 132	 136	 132	 130	 130	 126	 126	 130	 126	 134	 138	 132	 116	 128	 128	 124	 112	 136	 132	 142	 134	 138	 130	 126	 122	 138	 126	 128	 136	 140	 132	 136	 124	 124	 136	 134	 126	 142	 118	 130	 126	 138	 126	 132	 124	 132	 124	 120	 124	 128	 124	 116	 148	 132	 116	 124	 128	 116	 128	 138	 130	 122	 130	 130	 118	 130	 142	 124	 140	 136	 120	 136	 124	 124	 120	 118	 126	 122	 130	 130	 134	 134	 130	 130	 118	 114	 118	 126	 134	 126	 110	 136	 140	 120	 124	 124	 124	 132	 140	 122	 126	 126	 114	 122	 130	 126	 126	 124	 128	 136	 140	 132	 116	 136	 112	 128	 116	 132	 136	 116	 124	 112	 128	 122	 134	 126	 122	 126	 118	 146	 130	 128	 132	 136	 124	 128	 136	 128	 128	 142	 138	 142	 122	 126	 118	 126	 126
7	 128	 116	 136	 132	 126	 114	 126	 138	 134	 150	 126	 118	 120	 120	 128	 136	 138	 122	 138	 138	 124	 124	 148	 132	 144	 132	 120	 140	 134	 122	 126	 130	 118	 134	 122	 114	 124	 132	 128	 112	 132	 136	 136	 132	 126	 122	 122	 126	 124	 120	 136	 116	 134	 122	 130	 150	 130	 122	 118	 126	 128	 112	 124	 124	 132	 132	 124	 132	 138	 130	 130	 130	 134	 138	 118	 130	 128	 124	 120	 140	 122	 118	 122	 134	 148	 136	 132	 120	 124	 132	 124	 132	 138	 138	 130	 130	 134	 138	 138	 118	 140	 128	 120	 132	 144	 128	 140	 116	 122	 138	 134	 142	 136	 120	 132	 132	 130	 114	 134	 134	 122	 126	 134	 122	 136	 124	 132	 120	 150	 134	 138	 138	 132	 116	 128	 128	 132	 128	 128	 108	 134	 130	 130	 126	 128	 124	 124	 128	 114	 142	 118	 138	 126	 126	 138	 130	 116	 116	 128	 120	 112	 116	 136	 124	 126	 138	 118	 130	 134	 126	 134	 126	 120	 136	 144	 128	 134	 118	 134	 126	 120	 128	 136	 120	 132	 128	 132	 136	 122	 126	 130	 126	 138	 134	 134	 130	 120	 124	 116	 136	 116	 132	 128	 144	 118	 126	 138	 114	 136	 128	 140	 124	 138	 122	 126	 134	 130	 134	 110	 122	 120	 132	 124	 128	 128	 136	 128	 136	 134	 126	 126	 150	 130	 118	 130	 134	 124	 128	 124	 128	 122	 126	 130	 126	 132	 120	 132	 128	 116	 124	 132	 132	 130	 122	 114	 130
8	 128	 116	 132	 120	 118	 126	 138	 122	 122	 118	 130	 126	 120	 136	 120	 128	 122	 114	 126	 126	 120	 140	 116	 120	 116	 140	 132	 132	 130	 118	 130	 118	 132	 132	 140	 132	 130	 142	 122	 134	 134	 126	 138	 122	 108	 128	 120	 124	 126	 130	 126	 130	 140	 132	 132	 132	 128	 116	 132	 120	 126	 118	 130	 146	 128	 132	 140	 128	 126	 118	 138	 122	 146	 126	 114	 126	 128	 128	 136	 128	 142	 126	 122	 130	 132	 128	 120	 148	 128	 112	 136	 128	 126	 122	 134	 130	 128	 136	 136	 120	 126	 114	 134	 138	 130	 130	 134	 126	 128	 124	 124	 136	 134	 122	 134	 138	 132	 124	 140	 124	 120	 124	 124	 128	 142	 134	 130	 114	 124	 128	 140	 136	 130	 130	 130	 130	 126	 122	 114	 134	 132	 140	 112	 136	 134	 118	 134	 134	 132	 120	 124	 104	 136	 120	 116	 116	 126	 130	 122	 134	 120	 120	 124	 124	 126	 130	 146	 126	 122	 130	 122	 130	 112	 124	 120	 124	 130	 142	 126	 130	 136	 128	 124	 116	 148	 112	 116	 136	 130	 138	 130	 122	 136	 116	 136	 140	 134	 110	 118	 126	 130	 118	 134	 130	 120	 120	 116	 116	 126	 110	 142	 142	 116	 120	 124	 120	 136	 136	 132	 132	 126	 130	 138	 134	 112	 144	 124	 124	 118	 122	 114	 126	 130	 122	 122	 130	 128	 124	 128	 132	 126	 130	 130	 126	 132	 132	 128	 128	 128	 132	 120	 132	 134	 134	 126	 126
9	 128	 136	 128	 120	 124	 140	 124	 124	 118	 130	 122	 134	 134	 130	 114	 126	 124	 124	 120	 120	 128	 128	 132	 132	 134	 138	 126	 130	 134	 146	 142	 138	 124	 124	 128	 136	 120	 128	 124	 124	 134	 122	 118	 130	 110	 130	 134	 114	 124	 132	 148	 116	 128	 120	 128	 128	 138	 118	 134	 138	 130	 118	 142	 122	 132	 132	 112	 128	 132	 116	 136	 120	 114	 126	 138	 134	 110	 130	 134	 138	 136	 120	 136	 136	 136	 144	 120	 128	 138	 134	 126	 122	 126	 138	 138	 118	 120	 136	 128	 136	 136	 136	 120	 112	 130	 126	 142	 130	 134	 122	 130	 126	 112	 112	 132	 124	 128	 136	 116	 116	 126	 122	 126	 130	 122	 134	 130	 134	 124	 124	 128	 144	 120	 128	 124	 132	 134	 114	 126	 122	 134	 114	 134	 130	 124	 124	 132	 132	 128	 112	 128	 128	 130	 126	 134	 114	 130	 134	 134	 122	 128	 136	 128	 128	 116	 116	 132	 124	 134	 122	 146	 126	 134	 122	 138	 134	 124	 132	 136	 120	 136	 128	 124	 124	 110	 130	 142	 122	 126	 138	 142	 130	 132	 116	 124	 124	 132	 132	 132	 148	 134	 122	 122	 142	 114	 126	 118	 114	 140	 132	 128	 136	 124	 124	 128	 112	 122	 134	 130	 126	 126	 122	 126	 122	 120	 136	 116	 140	 128	 112	 132	 108	 126	 130	 126	 122	 122	 118	 138	 126	 124	 132	 124	 140	 132	 116	 116	 124	 126	 122	 122	 126	 130	 126	 118	 122
